"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",0.667963508570169,0.344268899588066,20.2257011861415,1.94023773094061,0.0664213065570032,"vSGB108167","Nasal",0.340606417345193,0.542440670215526
"2","benzonase",0.65974552468869,0.347165947068726,20.2546025850612,1.90037510953827,0.0717128782374426,"vSGB108167","Nasal",0.35208861292669,0.560726907789437
"3","host_zero",-0.0663561715262356,0.347165947068726,20.2546025852434,-0.191136751995724,0.850321423618417,"vSGB108167","Nasal",0.582918395921347,0.928340246285137
"4","molysis",0.559367950869612,0.344268899588066,20.2257011859053,1.62479954343515,0.119687508871832,"vSGB108167","Nasal",0.401487971005185,0.639399004202578
"5","qiaamp",-0.217415560167974,0.347165947068726,20.2546025851774,-0.626258312497837,0.538140025340831,"vSGB108167","Nasal",0.512488713018828,0.816175817046005
"6","lypma",-0.188755153211387,0.400263687862392,20.9746835880075,-0.47157701019404,0.642097222224954,"vSGB104688","Nasal",0.557175063534244,0.887342103670904
"7","benzonase",0.171838160356843,0.40245316494763,21.210316162484,0.426976789657508,0.673699161777422,"vSGB104688","Nasal",0.560303430003956,0.89232425643754
"8","host_zero",-0.447903577099728,0.40245316494763,21.2103161624418,-1.11293341961421,0.278191784989919,"vSGB104688","Nasal",0.46294587410798,0.737275216896877
"9","molysis",0.264233758141511,0.400263687862392,20.9746835872802,0.660149212017338,0.516342766903269,"vSGB104688","Nasal",0.512488713018828,0.816175817046005
"10","qiaamp",0.55928236732939,0.40245316494763,21.2103161627401,1.38968311356719,0.179040917772567,"vSGB104688","Nasal",0.421541848812229,0.671336273625921
"11","lypma",-0.178317415302187,0.409942886927426,20.9862885252243,-0.43498111807403,0.668016485572874,"vSGB21452","Nasal",0.560303430003956,0.89232425643754
"12","benzonase",0.185291065684903,0.412162198804899,21.2253155044362,0.449558611202511,0.657585972435208,"vSGB21452","Nasal",0.560303430003956,0.89232425643754
"13","host_zero",-0.434450671771667,0.412162198804899,21.2253155039831,-1.05407694599698,0.303699572068798,"vSGB21452","Nasal",0.467208619734906,0.744063951568556
"14","molysis",0.31034645892352,0.409942886927426,20.9862885255473,0.757048039666223,0.457437107168993,"vSGB21452","Nasal",0.512488713018828,0.816175817046005
"15","qiaamp",0.612814751893126,0.412162198804899,21.2253155053057,1.48682910191676,0.151764868212518,"vSGB21452","Nasal",0.401487971005185,0.639399004202578
"16","lypma",-0.564588461147143,0.696638632178229,22.8793623592563,-0.810446672160291,0.426033593372131,"vSGB5037","Nasal",0.512488713018828,0.816175817046005
"17","benzonase",-0.798996501444502,0.698955429834856,23.1690485866144,-1.14312940044444,0.264659747842249,"vSGB5037","Nasal",0.462430166978011,0.736453915515076
"18","host_zero",-0.342834619112387,0.698955429834856,23.1690485862677,-0.490495680380349,0.628396410286247,"vSGB5037","Nasal",0.552410994281073,0.879754974400746
"19","molysis",-0.644875331227629,0.696638632178229,22.8793623588734,-0.925695621001166,0.364266092158864,"vSGB5037","Nasal",0.491564557415837,0.782852566481769
"20","qiaamp",0.406790887271576,0.698955429834856,23.1690485866829,0.581998321935477,0.566188482127485,"vSGB5037","Nasal",0.527890386208179,0.840704109825659
"21","lypma",0.13889883873637,0.570830380220997,21.792382933768,0.243327691638618,0.810027415479806,"vSGB5744","Nasal",0.582248543902789,0.927273457876616
"22","benzonase",0.182867820827466,0.571726674162748,22.1361392824574,0.319851826216195,0.75207997893629,"vSGB5744","Nasal",0.572892758963595,0.912373685017477
"23","host_zero",-0.436873916629105,0.571726674162748,22.1361392830097,-0.764130722550028,0.452858135182635,"vSGB5744","Nasal",0.512488713018828,0.816175817046005
"24","molysis",0.607856736701387,0.570830380220997,21.7923829337729,1.06486402574799,0.298594433928306,"vSGB5744","Nasal",0.465373576264502,0.741141510418683
"25","qiaamp",1.30857615789274,0.571726674162748,22.1361392839645,2.28881424818783,0.0319930086726155,"vSGB5744","Nasal",0.234370235114699,0.37325176784718
"26","lypma",2.47741396035654,0.686185528753353,20.4130859591832,3.61041417596995,0.00170135549949871,"vSGB5833","Nasal",0.0866477717947305,0.137992923830855
"27","benzonase",0.54285712674417,0.691372856139545,20.5072127769717,0.78518721399528,0.441321337306477,"vSGB5833","Nasal",0.512488713018828,0.816175817046005
"28","host_zero",-0.0768846107124015,0.691372856139545,20.5072127770976,-0.111205711982542,0.912534449047075,"vSGB5833","Nasal",0.602368603370868,0.959316126443191
"29","molysis",0.931195999406959,0.686185528753353,20.4130859590168,1.35706155316148,0.189578846638476,"vSGB5833","Nasal",0.421541848812229,0.671336273625921
"30","qiaamp",1.8375254731693,0.691372856139545,20.5072127770924,2.65779232848334,0.0149069523306753,"vSGB5833","Nasal",0.16846752774335,0.268296878757987
"31","lypma",-0.572734508329456,0.898195547200244,23.8005863621698,-0.637650130992879,0.529788718378118,"vSGB33624","Nasal",0.512488713018828,0.816175817046005
"32","benzonase",-0.0925240272013491,0.898811151127659,24.0244607336212,-0.102940453158895,0.91886469109169,"vSGB33624","Nasal",0.602368603370868,0.959316126443191
"33","host_zero",0.245151876441094,0.898811151127659,24.0244607341585,0.272751262746934,0.787375174808163,"vSGB33624","Nasal",0.582248543902789,0.927273457876616
"34","molysis",0.343101221864092,0.898195547200244,23.8005863616522,0.381989448660227,0.705858654224884,"vSGB33624","Nasal",0.565565854895586,0.900705053568212
"35","qiaamp",-1.19946558053984,0.898811151127659,24.0244607323341,-1.33450233570754,0.194550511948736,"vSGB33624","Nasal",0.421541848812229,0.671336273625921
"36","lypma",-2.333806837282,0.872067818349771,20.5087856157973,-2.67617585258255,0.014316872916221,"vSGB14382","Nasal",0.16846752774335,0.268296878757987
"37","benzonase",0.0354759675909765,0.878731048706505,20.5961648102445,0.0403718152934248,0.968185494809922,"vSGB14382","Nasal",0.615795547522187,0.980699518574076
"38","host_zero",0.858934099950919,0.878731048706505,20.5961648098601,0.977470980700265,0.33967840295628,"vSGB14382","Nasal",0.473072075608464,0.753401934565537
"39","molysis",0.498370228371175,0.872067818349771,20.5087856156991,0.571481045263485,0.573883979708507,"vSGB14382","Nasal",0.528657377079875,0.841925598973558
"40","qiaamp",-0.571448025728581,0.878731048706505,20.5961648100358,-0.650310497813585,0.522680251508459,"vSGB14382","Nasal",0.512488713018828,0.816175817046005
"41","lypma",-1.97245960801347,0.669645062862438,20.3523536536662,-2.9455299790938,0.00789704770643346,"vSGB14623","Nasal",0.151859316666557,0.241847086009525
"42","benzonase",0.0187088240152948,0.67502102132116,20.4109168423352,0.0277159131706412,0.978157936599013,"vSGB14623","Nasal",0.6167168627736,0.982166780601468
"43","host_zero",-0.590829784534524,0.67502102132116,20.410916842829,-0.875276126035519,0.391607571515357,"vSGB14623","Nasal",0.503789592112498,0.802321829762103
"44","molysis",0.148644800359776,0.669645062862438,20.352353653122,0.221975504044464,0.826545180015161,"vSGB14623","Nasal",0.582248543902789,0.927273457876616
"45","qiaamp",-0.504779873462676,0.67502102132116,20.4109168435359,-0.747798746288989,0.463111000983185,"vSGB14623","Nasal",0.512488713018828,0.816175817046005
"46","lypma",-0.651964984020017,0.59358910722614,20.3608069653379,-1.09834391514809,0.284873383598418,"vSGB20147","Nasal",0.46294587410798,0.737275216896877
"47","benzonase",0.41715422285491,0.598462344271645,20.4053215795602,0.697043392701015,0.493641214239594,"vSGB20147","Nasal",0.512488713018828,0.816175817046005
"48","host_zero",-0.254507867941862,0.598462344271645,20.4053215793438,-0.425269643742765,0.675091395940183,"vSGB20147","Nasal",0.560303430003956,0.89232425643754
"49","molysis",0.426130741501305,0.59358910722614,20.360806965867,0.717888411889206,0.480982728907751,"vSGB20147","Nasal",0.512488713018828,0.816175817046005
"50","qiaamp",0.258237267874121,0.598462344271645,20.4053215792492,0.43150128048308,0.670628597632195,"vSGB20147","Nasal",0.560303430003956,0.89232425643754
"51","lypma",0.655446726490648,0.355478804161156,22.4839388799249,1.84384193605395,0.0784258872752512,"vSGB4346","Nasal",0.36560503462458,0.582252799467774
"52","benzonase",0.432092446543578,0.356597634441739,22.7927297132828,1.21170867333438,0.238036620053907,"vSGB4346","Nasal",0.44657724410042,0.711206974551306
"53","host_zero",-0.187649290912993,0.356597634441739,22.7927297137905,-0.526221356478603,0.603817756411212,"vSGB4346","Nasal",0.54917448251588,0.874600592329041
"54","molysis",0.212024872717948,0.355478804161156,22.4839388791989,0.596448705903225,0.556833754942039,"vSGB4346","Nasal",0.525538595857808,0.836958711415949
"55","qiaamp",0.144660464001897,0.356597634441739,22.7927297136358,0.405668602452639,0.688769114424147,"vSGB4346","Nasal",0.560303430003956,0.89232425643754
"56","lypma",0.0242060103273506,0.702673094552958,22.7369784156117,0.0344484661715282,0.972820177139947,"vSGB104684","Nasal",0.61587554949053,0.980826927569082
"57","benzonase",-0.0642921743761947,0.704032523486162,23.0531588504386,-0.091319892521213,0.928027291039174,"vSGB104684","Nasal",0.602391823858329,0.959353106770454
"58","host_zero",-0.684033911832766,0.704032523486162,23.053158850527,-0.971594193469403,0.341337203007243,"vSGB104684","Nasal",0.473072075608464,0.753401934565537
"59","molysis",-0.453409549101501,0.702673094552958,22.7369784164141,-0.645263854011603,0.525214677850211,"vSGB104684","Nasal",0.512488713018828,0.816175817046005
"60","qiaamp",1.12346331464505,0.704032523486162,23.0531588507723,1.59575485104294,0.124162410275138,"vSGB104684","Nasal",0.401487971005185,0.639399004202578
"61","lypma",-1.65413267699478,0.600463164887583,20.4031093462626,-2.75476128049331,0.0120738082668472,"vSGB20440","Nasal",0.16846752774335,0.268296878757987
"62","benzonase",-0.311272091130925,0.604417048976603,20.5702727805841,-0.514995550932869,0.612046061368261,"vSGB20440","Nasal",0.550623400037985,0.876908099621193
"63","host_zero",-0.931013828587495,0.604417048976603,20.5702727800574,-1.54035004499606,0.138718127838808,"vSGB20440","Nasal",0.401487971005185,0.639399004202578
"64","molysis",-0.437576982647291,0.600463164887583,20.403109346183,-0.72873243228702,0.474447635707935,"vSGB20440","Nasal",0.512488713018828,0.816175817046005
"65","qiaamp",-0.139154613777034,0.604417048976603,20.5702727795632,-0.230229464924343,0.82018760576645,"vSGB20440","Nasal",0.582248543902789,0.927273457876616
"66","lypma",-0.824596887974661,0.83789337092408,23.0415384211686,-0.984131056037889,0.335272882867869,"vSGB21241","Nasal",0.473072075608464,0.753401934565537
"67","benzonase",-1.3637848802899,0.839815858848648,23.3458287672759,-1.62390941528491,0.117821898221222,"vSGB21241","Nasal",0.401487971005185,0.639399004202578
"68","host_zero",-0.16108364350568,0.839815858848648,23.3458287679551,-0.19180828964878,0.849550918977416,"vSGB21241","Nasal",0.582918395921347,0.928340246285137
"69","molysis",-0.95985095031513,0.83789337092408,23.0415384204374,-1.14555262474096,0.263739469798216,"vSGB21241","Nasal",0.462430166978011,0.736453915515076
"70","qiaamp",0.632183081298802,0.839815858848648,23.3458287666466,0.752763923945779,0.459115660383041,"vSGB21241","Nasal",0.512488713018828,0.816175817046005
"71","lypma",-1.66354301761291,0.600884498483732,20.3960690762862,-2.76849048662544,0.0117145656376505,"vSGB23782","Nasal",0.16846752774335,0.268296878757987
"72","benzonase",-0.297384671590797,0.604865794604143,20.5603037841155,-0.491653973895849,0.628171856571183,"vSGB23782","Nasal",0.552410994281073,0.879754974400746
"73","host_zero",-0.917126409047368,0.604865794604143,20.5603037844985,-1.51624776475844,0.144681735802007,"vSGB23782","Nasal",0.401487971005185,0.639399004202578
"74","molysis",-0.405081083140138,0.600884498483732,20.3960690762221,-0.67414134357321,0.507790703718083,"vSGB23782","Nasal",0.512488713018828,0.816175817046005
"75","qiaamp",-0.124935055526238,0.604865794604143,20.5603037851289,-0.206550042407345,0.838393030065323,"vSGB23782","Nasal",0.582918395921347,0.928340246285137
"76","lypma",-1.8843434879386,0.668276363240388,20.4119277523642,-2.8197069230485,0.010449127090027,"vSGB27912","Nasal",0.16846752774335,0.268296878757987
"77","benzonase",-0.36265003526379,0.672703747376769,20.5760322135529,-0.539093228896013,0.595608142306327,"vSGB27912","Nasal",0.545403613712205,0.86859520753006
"78","host_zero",-0.982391772720361,0.672703747376769,20.5760322133826,-1.46036316365299,0.159292065746146,"vSGB27912","Nasal",0.401487971005185,0.639399004202578
"79","molysis",-0.460780427853004,0.668276363240388,20.4119277528584,-0.689505799095958,0.498269364097344,"vSGB27912","Nasal",0.512488713018828,0.816175817046005
"80","qiaamp",-0.126608254028996,0.672703747376769,20.5760322129586,-0.188208040348681,0.852557369037371,"vSGB27912","Nasal",0.582918395921347,0.928340246285137
"81","lypma",-1.99503409120109,0.788661960809564,22.2642079942369,-2.52964411920309,0.0189886875485868,"vSGB5862","Nasal",0.190438361181301,0.303287040447153
"82","benzonase",-1.85426487859408,0.791440503696198,22.5679531348436,-2.34289863853854,0.028333549488795,"vSGB5862","Nasal",0.217940355639549,0.347085981237739
"83","host_zero",-1.20667672081676,0.791440503696198,22.5679531359667,-1.52465879011918,0.141236598149634,"vSGB5862","Nasal",0.401487971005185,0.639399004202578
"84","molysis",-1.08003520647061,0.788661960809564,22.2642079943418,-1.3694526427545,0.18451395487546,"vSGB5862","Nasal",0.421541848812229,0.671336273625921
"85","qiaamp",-0.369935216314209,0.791440503696198,22.5679531356632,-0.46742012139451,0.644681201850698,"vSGB5862","Nasal",0.557175063534244,0.887342103670904
"86","lypma",-2.69408388716409,0.854879471232637,22.5425538484792,-3.15141956009253,0.00454056630194827,"vSGB18775","Nasal",0.116419421793341,0.185406457329554
"87","benzonase",-2.61420892922872,0.858186678787404,22.8240916689769,-3.04620077874261,0.00576437312889499,"vSGB18775","Nasal",0.126683691990278,0.201753059511325
"88","host_zero",-0.680789633334607,0.858186678787404,22.82409166894,-0.793288511884786,0.435779469046944,"vSGB18775","Nasal",0.512488713018828,0.816175817046005
"89","molysis",-1.44276666085593,0.854879471232637,22.542553848037,-1.68768429867152,0.105261435479854,"vSGB18775","Nasal",0.401487971005185,0.639399004202578
"90","qiaamp",-0.117516505844135,0.858186678787404,22.824091668817,-0.136935830803367,0.89228227762747,"vSGB18775","Nasal",0.602052115655955,0.958812096573377
"91","lypma",-0.480425872403506,0.530234476517422,20.3020504323355,-0.906063060174701,0.375530806412717,"vSGB24071","Nasal",0.492192790550951,0.78385307376968
"92","benzonase",-0.0751510105006882,0.534202664133803,20.4026850143157,-0.140678838849566,0.889503316903425,"vSGB24071","Nasal",0.602052115655955,0.958812096573377
"93","host_zero",-0.694892747957259,0.534202664133803,20.4026850143156,-1.3008035987316,0.207826440801265,"vSGB24071","Nasal",0.421589208848014,0.671411697952195
"94","molysis",-0.330784878539631,0.530234476517422,20.302050432041,-0.623846417366567,0.539675438210011,"vSGB24071","Nasal",0.512488713018828,0.816175817046005
"95","qiaamp",-0.417269717855178,0.534202664133803,20.4026850142774,-0.781107519431359,0.443708904689057,"vSGB24071","Nasal",0.512488713018828,0.816175817046005
"96","lypma",0.749870155292103,0.50020859851302,28.9999999999985,1.49911488431278,0.144652094577056,"vSGB108247","Nasal",0.401487971005185,0.639399004202578
"97","benzonase",0.498729603937795,0.50020859851302,28.9999999999985,0.997043244399194,0.32699064443534,"vSGB108247","Nasal",0.473072075608464,0.753401934565537
"98","host_zero",-0.121012133518775,0.50020859851302,28.9999999999985,-0.241923337340683,0.810542184184113,"vSGB108247","Nasal",0.582248543902789,0.927273457876616
"99","molysis",0.117601443916495,0.50020859851302,28.9999999999375,0.235104802808451,0.815779640050383,"vSGB108247","Nasal",0.582248543902789,0.927273457876616
"100","qiaamp",1.69549473356837,0.50020859851302,28.9999999999375,3.3895753463827,0.00203501395519689,"vSGB108247","Nasal",0.0866477717947305,0.137992923830855
"101","lypma",0.264846856837397,0.788539160529002,22.8440728038008,0.335870265035057,0.740034048057464,"vSGB14526","Nasal",0.572892758963595,0.912373685017477
"102","benzonase",-0.0819662934414797,0.788949546420881,23.0773058402598,-0.103892947037393,0.918151936011686,"vSGB14526","Nasal",0.602368603370868,0.959316126443191
"103","host_zero",0.326747969561522,0.788949546420881,23.0773058399902,0.414155722687002,0.682584225894669,"vSGB14526","Nasal",0.560303430003956,0.89232425643754
"104","molysis",-0.608879807687842,0.788539160529002,22.8440728040637,-0.772161787474661,0.44793388301717,"vSGB14526","Nasal",0.512488713018828,0.816175817046005
"105","qiaamp",1.31211077153081,0.788949546420881,23.0773058406326,1.66311112983495,0.109813748423856,"vSGB14526","Nasal",0.401487971005185,0.639399004202578
"106","lypma",0.0333027733848213,0.841182228067279,28.9999999992395,0.0395904386393642,0.968690953040516,"vSGB19305","Nasal",0.615795547522187,0.980699518574076
"107","benzonase",-0.217837777969486,0.841182228067279,28.9999999992395,-0.258966215287258,0.797490688338528,"vSGB19305","Nasal",0.582248543902789,0.927273457876616
"108","host_zero",-0.837579515426057,0.841182228067279,28.9999999992395,-0.995717084216699,0.327623804386267,"vSGB19305","Nasal",0.473072075608464,0.753401934565537
"109","molysis",-0.598965937990786,0.841182228067279,28.9999999992408,-0.712052535117135,0.482121840648625,"vSGB19305","Nasal",0.512488713018828,0.816175817046005
"110","qiaamp",0.2849303714991,0.841182228067279,28.9999999992408,0.338726095240698,0.737256478358493,"vSGB19305","Nasal",0.572892758963595,0.912373685017477
"111","lypma",-0.673568757704793,0.689033208334166,21.2200974825216,-0.97755630578857,0.339307640703217,"vSGB20404","Nasal",0.473072075608464,0.753401934565537
"112","benzonase",-0.163518306715098,0.6925456551659,21.47406558015,-0.23611195232454,0.815583269659503,"vSGB20404","Nasal",0.582248543902789,0.927273457876616
"113","host_zero",-0.783260044171669,0.6925456551659,21.4740655798329,-1.13098687188217,0.270534091413702,"vSGB20404","Nasal",0.462430166978011,0.736453915515076
"114","molysis",-0.195704216955015,0.689033208334166,21.2200974814104,-0.284027263980727,0.7791424479884,"vSGB20404","Nasal",0.582248543902789,0.927273457876616
"115","qiaamp",1.05154401744267,0.6925456551659,21.4740655804201,1.5183750119561,0.143506004885771,"vSGB20404","Nasal",0.401487971005185,0.639399004202578
"116","lypma",-0.799763901092198,0.814745870850817,23.2315762125836,-0.981611481205822,0.336404185358792,"vSGB81163","Nasal",0.473072075608464,0.753401934565537
"117","benzonase",-1.04794222532675,0.814776393148388,23.3050089955816,-1.28617156085903,0.21101510507069,"vSGB81163","Nasal",0.421589208848014,0.671411697952195
"118","host_zero",-0.659609556911248,0.814776393148388,23.3050089871405,-0.809558993679778,0.42638257592073,"vSGB81163","Nasal",0.512488713018828,0.816175817046005
"119","molysis",-1.45080823516522,0.814745870850817,23.2315762151061,-1.78068804896204,0.0880459817421794,"vSGB81163","Nasal",0.376247572219255,0.599201820189832
"120","qiaamp",0.960943635935095,0.814776393148388,23.3050090036417,1.17939552988508,0.250141082962094,"vSGB81163","Nasal",0.453194498295063,0.721745436592938
"121","lypma",1.15839802239964,0.340516831964196,20.0850571111318,3.40188182686206,0.00281618211899704,"vSGB21262","Nasal",0.0866477717947305,0.137992923830855
"122","benzonase",-0.0405763781727466,0.343449874306073,20.098579241732,-0.11814352314069,0.907126710257955,"vSGB21262","Nasal",0.602368603370868,0.959316126443191
